resource_id,resource_title,username,level
8,hotosm_tcd_populated_places_points_kml,fake_580,manage
8,hotosm_tcd_populated_places_points_kml,fake_205,edit
8,hotosm_tcd_populated_places_points_kml,fake_1107,edit
9,comuni,fake_1175,download
9,comuni,fake_519,download
9,comuni,AnonymousUser,view
10,limits_it_provinces,fake_522,view
10,limits_it_provinces,fake_980,edit
10,limits_it_provinces,fake_1261,manage
10,limits_it_provinces,fake_54,view
10,limits_it_provinces,fake_1336,edit
10,limits_it_provinces,fake_255,manage
10,limits_it_provinces,fake_723,view
10,limits_it_provinces,fake_1208,download
10,limits_it_provinces,AnonymousUser,view
11,limits_it_municipalities,fake_79,view
11,limits_it_municipalities,fake_521,view
11,limits_it_municipalities,fake_1254,view
11,limits_it_municipalities,fake_356,view
11,limits_it_municipalities,fake_1215,edit
11,limits_it_municipalities,fake_552,view
11,limits_it_municipalities,AnonymousUser,view
12,test_6mln_fixed,fake_845,download
12,test_6mln_fixed,fake_761,download
12,test_6mln_fixed,fake_1121,manage
12,test_6mln_fixed,AnonymousUser,view
13,single_point,fake_202,view
13,single_point,fake_178,view
14,example_raster2,fake_1131,manage
14,example_raster2,fake_1030,manage
14,example_raster2,fake_982,edit
14,example_raster2,fake_1335,download
14,example_raster2,fake_1010,manage
14,example_raster2,fake_409,manage
14,example_raster2,fake_1107,edit
14,example_raster2,AnonymousUser,view
15,alpine_convention_perimeter_2025,fake_708,view
15,alpine_convention_perimeter_2025,fake_441,manage
15,alpine_convention_perimeter_2025,fake_1233,view
15,alpine_convention_perimeter_2025,fake_907,download
15,alpine_convention_perimeter_2025,fake_1205,manage
15,alpine_convention_perimeter_2025,fake_604,manage
15,alpine_convention_perimeter_2025,fake_261,manage
15,alpine_convention_perimeter_2025,fake_216,manage
15,alpine_convention_perimeter_2025,fake_710,edit
15,alpine_convention_perimeter_2025,AnonymousUser,view
16,tabular,fake_1321,download
16,tabular,fake_1036,manage
16,tabular,fake_448,manage
16,tabular,fake_416,edit
16,tabular,fake_319,edit
17,ancient_roman_roads,fake_711,download
17,ancient_roman_roads,fake_504,manage
18,test_100k,fake_1482,download
18,test_100k,fake_642,download
18,test_100k,fake_591,edit
18,test_100k,fake_248,edit
18,test_100k,fake_217,edit
19,hotosm_tcd_populated_places_points_kml,fake_239,view
19,hotosm_tcd_populated_places_points_kml,fake_1036,download
19,hotosm_tcd_populated_places_points_kml,fake_451,view
19,hotosm_tcd_populated_places_points_kml,fake_233,view
19,hotosm_tcd_populated_places_points_kml,fake_448,edit
19,hotosm_tcd_populated_places_points_kml,fake_1077,manage
19,hotosm_tcd_populated_places_points_kml,fake_705,edit
19,hotosm_tcd_populated_places_points_kml,AnonymousUser,view
20,test_1mln,fake_184,download
20,test_1mln,fake_1268,edit
20,test_1mln,fake_1143,view
21,tabular_upsert,fake_720,view
21,tabular_upsert,fake_274,download
21,tabular_upsert,fake_622,view
21,tabular_upsert,fake_602,view
21,tabular_upsert,fake_86,manage
21,tabular_upsert,fake_399,download
21,tabular_upsert,fake_31,view
22,timeseries,fake_556,manage
22,timeseries,fake_520,manage
22,timeseries,fake_402,manage
22,timeseries,fake_714,download
22,timeseries,fake_747,manage
22,timeseries,fake_949,manage
22,timeseries,AnonymousUser,view
23,area,fake_1285,view
23,area,fake_377,manage
23,area,fake_1185,edit
23,area,AnonymousUser,view
24,dragon_high,fake_74,manage
24,dragon_high,fake_824,edit
24,dragon_high,fake_861,manage
24,dragon_high,fake_1307,edit
24,dragon_high,fake_1170,download
24,dragon_high,fake_1223,view
24,dragon_high,fake_1268,download
24,dragon_high,fake_42,download
24,dragon_high,fake_644,manage
24,dragon_high,fake_1474,download
24,dragon_high,AnonymousUser,view
25,example_raster2,fake_821,download
25,example_raster2,fake_1414,download
26,tileset,fake_621,download
26,tileset,fake_625,manage
26,tileset,fake_153,view
26,tileset,fake_269,download
26,tileset,fake_902,manage
27,alpine_convention_perimeter_2025,fake_148,download
27,alpine_convention_perimeter_2025,fake_842,edit
27,alpine_convention_perimeter_2025,fake_275,download
27,alpine_convention_perimeter_2025,fake_100,download
27,alpine_convention_perimeter_2025,fake_277,edit
27,alpine_convention_perimeter_2025,fake_236,download
27,alpine_convention_perimeter_2025,fake_119,view
27,alpine_convention_perimeter_2025,fake_636,view
27,alpine_convention_perimeter_2025,fake_257,edit
28,airports,fake_367,manage
28,airports,fake_1038,view
28,airports,AnonymousUser,view
29,hotosm_tcd_populated_places_points_kml,fake_1169,manage
29,hotosm_tcd_populated_places_points_kml,fake_1392,manage
29,hotosm_tcd_populated_places_points_kml,fake_364,download
29,hotosm_tcd_populated_places_points_kml,fake_944,view
29,hotosm_tcd_populated_places_points_kml,fake_179,download
29,hotosm_tcd_populated_places_points_kml,fake_606,manage
29,hotosm_tcd_populated_places_points_kml,fake_1096,edit
29,hotosm_tcd_populated_places_points_kml,fake_725,view
29,hotosm_tcd_populated_places_points_kml,fake_199,view
30,area,fake_202,view
30,area,fake_312,manage
30,area,fake_734,edit
30,area,fake_1076,edit
30,area,AnonymousUser,view
31,ancient_roman_roads,fake_360,manage
